plant symbol,plant scientific name,plant common name,native states (separated by '*'),duration,growth habit,growth period,growth rate,moisture use,adapted to coarse soil,adapted to fine soil,adapted to medium soil,drought tolerance,shade tolerance,temp min (�F),foliage color,flower conspicuous,flower color,bloom period
GAOB,Galium obtusum,bluntleaf bedstraw,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Massachusetts*District of Columbia*Illinois*Maryland*Nebraska*Tennessee*Mississippi*Nova Scotia*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*New Brunswick*Indiana*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,None,Tolerant,-33,Green,Yes,White,Mid Spring
GAOR,Galium oreganum,Oregon bedstraw,California*Washington*Oregon*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Low,No,Yes,Yes,None,Tolerant,-13,Green,Yes,Yellow,Mid Summer
GATI,Galium tinctorium,stiff marsh bedstraw,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Labrador*Virginia*Kentucky*Maine*Prince Edward Island*Massachusetts*District of Columbia*Illinois*Maryland*Nebraska*Tennessee*Newfoundland*Mississippi*Nova Scotia*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*New Brunswick*Indiana*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,None,Tolerant,-33,Green,Yes,White,Late Spring
GATR2,Galium trifidum,threepetal bedstraw,New Hampshire*Ohio*Connecticut*Northwest Territories*Labrador*Quebec*Alberta*Virginia*Yukon*Maine*Prince Edward Island*Massachusetts*District of Columbia*Colorado*Illinois*Maryland*Saskatchewan*Nebraska*Newfoundland*Nova Scotia*Iowa*Oregon*Louisiana*Ontario*Michigan*New Jersey*Alaska*Nunavut*New York*Washington*South Dakota*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*Texas*California*Montana*Wyoming*New Brunswick*Manitoba*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Forb/herb*Vine*,Summer*,Moderate,High,Yes,Yes,Yes,None,Intermediate,-38,Green,No,White,Early Summer
GAWR3,Garrya wrightii,Wright's silktassel,New Mexico*Arizona*Texas*,Perennial*,Shrub*Tree*,Spring*Summer*Fall*,Moderate,Low,Yes,No,Yes,High,Intolerant,12,Green,No,White,Late Spring
GAHI2,Gaultheria hispidula,creeping snowberry,New Hampshire*Ohio*Connecticut*Labrador*Quebec*Alberta*Maine*Prince Edward Island*Maryland*Saskatchewan*Newfoundland*Nova Scotia*Ontario*Michigan*New Jersey*Nunavut*New York*Washington*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*British Columbia*West Virginia*New Brunswick*Manitoba*Massachusetts*Idaho*,Perennial*,Shrub*Subshrub*,Spring*Summer*,Slow,Medium,Yes,Yes,Yes,Medium,Tolerant,-28,Dark Green,Yes,White,Mid Spring
GAPR2,Gaultheria procumbens,eastern teaberry,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Indiana*Prince Edward Island*District of Columbia*Illinois*Maryland*Tennessee*Newfoundland*Nova Scotia*Ontario*Michigan*New Jersey*Delaware*Alabama*Georgia*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*North Carolina*West Virginia*New Brunswick*Manitoba*Massachusetts*,Perennial*,Shrub*Subshrub*,Spring*Summer*Fall*,Slow,Low,Yes,No,Yes,High,Tolerant,-33,Dark Green,Yes,White,Spring
GABA,Gaylussacia baccata,black huckleberry,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Indiana*Prince Edward Island*District of Columbia*Illinois*Maryland*Tennessee*Newfoundland*Mississippi*Nova Scotia*Iowa*Ontario*Michigan*New Jersey*Delaware*Alabama*Arkansas*Georgia*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Missouri*North Carolina*West Virginia*New Brunswick*Massachusetts*,Perennial*,Shrub*,Spring*Summer*,Slow,Low,Yes,Yes,Yes,Medium,Tolerant,-33,Green,Yes,White,Late Spring
GADU,Gaylussacia dumosa,dwarf huckleberry,New Hampshire*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Prince Edward Island*District of Columbia*Maryland*Tennessee*Newfoundland*Mississippi*Nova Scotia*Louisiana*Florida*New Jersey*Delaware*Alabama*Georgia*New York*Rhode Island*Pennsylvania*North Carolina*West Virginia*New Brunswick*Massachusetts*,Perennial*,Shrub*Subshrub*,Spring*Summer*,Slow,Low,Yes,Yes,Yes,Medium,Tolerant,-23,Green,Yes,White,Late Spring
GAFR2,Gaylussacia frondosa,blue huckleberry,New Hampshire*Connecticut*South Carolina*Virginia*Kentucky*District of Columbia*Maryland*Tennessee*Mississippi*New Jersey*Delaware*Alabama*Georgia*New York*Rhode Island*Pennsylvania*North Carolina*West Virginia*Massachusetts*,Perennial*,Shrub*,Spring*,Slow,Low,Yes,No,No,High,Tolerant,-23,Green,Yes,White,Mid Spring
GEAN,Gentiana andrewsii,closed bottle gentian,New Hampshire*Ohio*Connecticut*Quebec*Virginia*Kentucky*Indiana*Maryland*Colorado*Illinois*Nebraska*Saskatchewan*Iowa*Ontario*Michigan*New Jersey*Delaware*New York*Wisconsin*South Dakota*Vermont*Minnesota*Rhode Island*Pennsylvania*Missouri*West Virginia*Manitoba*North Dakota*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*Fall*,Moderate,Medium,No,No,Yes,Medium,Intermediate,-38,Green,Yes,Purple,Mid Summer
GECA,Gentiana calycosa,Rainier pleated gentian,British Columbia*California*Montana*Alberta*Washington*Wyoming*Nevada*Oregon*Idaho*Utah*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Medium,No,Yes,Yes,None,Tolerant,7,Green,Yes,Blue,Late Summer
GECL,Gentiana clausa,bottle gentian,Pennsylvania*New Hampshire*Maryland*District of Columbia*Connecticut*New Jersey*Ohio*Tennessee*Quebec*New York*North Carolina*Virginia*West Virginia*Vermont*Rhode Island*Maine*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*Fall*,Rapid,Medium,No,No,Yes,Medium,Intermediate,-38,Green,Yes,Purple,Late Summer
GEER2,Geranium erianthum,woolly geranium,Yukon*British Columbia*Alaska*Alberta*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,No,No,No,None,Intolerant,-20,Green,Yes,Purple,Early Summer
GEOR2,Geranium oreganum,Oregon geranium,California*Montana*Alberta*Washington*Oregon*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,High,No,Yes,Yes,None,Tolerant,7,Green,Yes,Purple,Mid Spring
GERI,Geranium richardsonii,Richardson's geranium,British Columbia*Colorado*California*Saskatchewan*Northwest Territories*Montana*Alberta*Washington*South Dakota*Yukon*Wyoming*Arizona*Nevada*Oregon*New Mexico*Idaho*Utah*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,No,Yes,Yes,Low,Intermediate,-38,Green,Yes,Purple,Mid Spring
GEVI2,Geranium viscosissimum,sticky purple geranium,British Columbia*Colorado*California*Nebraska*Saskatchewan*Montana*Alberta*Washington*South Dakota*Wyoming*Nevada*Oregon*New Mexico*Idaho*Utah*,Annual*Perennial*,Forb/herb*,Spring*Summer*,Rapid,Low,No,No,Yes,None,Tolerant,-13,Green,Yes,Purple,Mid Spring
GECA7,Geum canadense,white avens,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Prince Edward Island*Massachusetts*District of Columbia*Illinois*Maryland*Nebraska*Tennessee*Mississippi*Nova Scotia*Iowa*Louisiana*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Texas*Missouri*Montana*Wyoming*North Carolina*West Virginia*New Brunswick*North Dakota*Indiana*,Perennial*,Forb/herb*,Spring*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-33,Green,No,White,Spring
GELA,Geum laciniatum,rough avens,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Indiana*Prince Edward Island*District of Columbia*Illinois*Maryland*Nebraska*Tennessee*Nova Scotia*Iowa*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Missouri*North Carolina*West Virginia*New Brunswick*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Low,Intermediate,-23,Green,Yes,White,Late Spring
GEMA4,Geum macrophyllum,largeleaf avens,New Hampshire*Northwest Territories*Labrador*Quebec*Alberta*Yukon*Maine*Prince Edward Island*Colorado*Saskatchewan*Newfoundland*Nova Scotia*Oregon*Ontario*Michigan*New Jersey*Alaska*New York*Washington*South Dakota*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Utah*British Columbia*California*Montana*Wyoming*New Brunswick*Manitoba*North Dakota*New Mexico*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-33,Green,Yes,Yellow,Late Spring
GERI2,Geum rivale,purple avens,New Hampshire*Ohio*Connecticut*Northwest Territories*Labrador*Quebec*Alberta*Maine*Indiana*Prince Edward Island*Maryland*Colorado*Illinois*Saskatchewan*Newfoundland*Nova Scotia*Ontario*Michigan*New Jersey*New York*Washington*South Dakota*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*British Columbia*Montana*Wyoming*West Virginia*New Brunswick*Manitoba*North Dakota*New Mexico*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,Low,Intolerant,-33,Green,Yes,Purple,Mid Spring
GEROT,Geum rossii,Ross' avens,Colorado*Montana*Wyoming*Nevada*Arizona*Oregon*New Mexico*Idaho*Utah*,Perennial*,Forb/herb*,Spring*,Rapid,Low,Yes,No,Yes,High,Intermediate,26,Green,Yes,Yellow,Summer
GETR,Geum triflorum,old man's whiskers,Northwest Territories*Alberta*Yukon*Colorado*Illinois*Saskatchewan*Iowa*Oregon*Ontario*Michigan*New York*Washington*South Dakota*Wisconsin*Arizona*Nevada*Minnesota*Utah*British Columbia*California*Montana*Wyoming*Manitoba*North Dakota*New Mexico*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,No,No,Yes,High,Intermediate,-38,Green,Yes,Purple,Late Summer
GEVE,Geum vernum,spring avens,Ohio*Virginia*Kentucky*Indiana*District of Columbia*Illinois*Maryland*Nebraska*Tennessee*Mississippi*Iowa*Ontario*Michigan*New Jersey*Delaware*Kansas*Oklahoma*Arkansas*Georgia*New York*Wisconsin*Vermont*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,Low,Tolerant,-18,Green,Yes,Yellow,Mid Spring
GIBI2,Ginkgo biloba,maidenhair tree,Pennsylvania*New Jersey*District of Columbia*Ohio*New York*North Carolina*Virginia*Kentucky*Mississippi*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Low,Intolerant,-23,Yellow-Green,No,Yellow,NA
GLMA,Glaux maritima,sea milkwort,New Hampshire*Northwest Territories*Quebec*Alberta*Virginia*Maine*Prince Edward Island*Maryland*Colorado*Nebraska*Saskatchewan*Newfoundland*Nova Scotia*Oregon*Ontario*New Jersey*Alaska*Nunavut*New York*Washington*Nevada*Minnesota*Rhode Island*Utah*British Columbia*California*Montana*Wyoming*New Brunswick*Manitoba*North Dakota*New Mexico*Massachusetts*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,Yes,Yes,Yes,None,Intolerant,-33,Green,Yes,White,Late Spring
GLAQ,Gleditsia aquatica,water locust,New Jersey*Texas*Illinois*Alabama*Missouri*South Carolina*Arkansas*Tennessee*Georgia*New York*Kentucky*West Virginia*Mississippi*Louisiana*Indiana*Florida*,Perennial*,Shrub*Tree*,Spring*,Moderate,High,Yes,Yes,Yes,None,Intermediate,27,Green,No,Green,Mid Summer
GLTR,Gleditsia triacanthos,honeylocust,New Hampshire*Ohio*Connecticut*South Carolina*Virginia*Kentucky*Maine*Massachusetts*District of Columbia*Colorado*Illinois*Maryland*Nebraska*Tennessee*Mississippi*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Rhode Island*Utah*Pennsylvania*Texas*California*Missouri*Montana*Wyoming*North Carolina*West Virginia*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Shrub*Tree*,Spring*Summer*,Rapid,Medium,No,Yes,Yes,High,Intolerant,-36,Green,No,Yellow,Late Spring
GLSE2,Gliricidia sepium,quickstick,Palau*Puerto Rico*Virgin Islands*Guam*Florida*,Perennial*,Tree*,Year Round*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,17,Green,Yes,Green,Late Winter
GLBO,Glyceria borealis,small floating mannagrass,New Hampshire*Ohio*Connecticut*Northwest Territories*Labrador*Quebec*Alberta*Yukon*Maine*Prince Edward Island*Massachusetts*Colorado*Illinois*Nebraska*Saskatchewan*Newfoundland*Nova Scotia*Iowa*Oregon*Ontario*Michigan*New Jersey*Alaska*New York*Washington*South Dakota*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*California*Montana*Wyoming*New Brunswick*Manitoba*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Graminoid*,Spring*,Moderate,High,Yes,Yes,Yes,Low,Intolerant,-33,Green,No,Green,Late Spring
GLME2,Glyceria melicaria,melic mannagrass,New Hampshire*Ohio*Connecticut*Quebec*Virginia*Kentucky*Maine*Maryland*Tennessee*Mississippi*Nova Scotia*Ontario*New Jersey*Alabama*Georgia*New York*Vermont*Rhode Island*Pennsylvania*North Carolina*West Virginia*New Brunswick*Massachusetts*,Perennial*,Graminoid*,Spring*,Moderate,Medium,No,Yes,Yes,Low,Intolerant,-33,Green,No,Green,Late Spring
GLOB,Glyceria obtusa,Atlantic mannagrass,Pennsylvania*New Hampshire*District of Columbia*Delaware*Connecticut*Maryland*New Jersey*South Carolina*New York*North Carolina*Virginia*New Brunswick*Nova Scotia*Rhode Island*Maine*Massachusetts*,Perennial*,Graminoid*,Spring*,Rapid,High,No,Yes,Yes,Low,Tolerant,-8,Green,No,Green,Summer
GLST,Glyceria striata,fowl mannagrass,New Hampshire*Ohio*Connecticut*Northwest Territories*South Carolina*Quebec*Labrador*Alberta*Virginia*Yukon*Kentucky*Maine*Prince Edward Island*Massachusetts*District of Columbia*Colorado*Illinois*Maryland*Saskatchewan*Nebraska*Tennessee*Newfoundland*Mississippi*Nova Scotia*Iowa*Oregon*Florida*Louisiana*Ontario*Michigan*New Jersey*Alaska*Alabama*Delaware*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Washington*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*Texas*California*Missouri*Montana*Wyoming*North Carolina*West Virginia*Manitoba*New Brunswick*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Graminoid*,Spring*,Moderate,Medium,No,Yes,Yes,Low,Tolerant,-35,Green,No,Green,Early Summer
GLMA4,Glycine max,soybean,Ohio*South Carolina*Quebec*Virginia*Kentucky*Indiana*Maryland*Illinois*Nebraska*Tennessee*Mississippi*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Arkansas*Georgia*New York*Wisconsin*Puerto Rico*Minnesota*Pennsylvania*Missouri*North Carolina*West Virginia*Massachusetts*,Annual*,Forb/herb*,Summer*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,-28,Green,Yes,Purple,Mid Summer
GLSO80,Glycine max,soybean,Ohio*South Carolina*Quebec*Virginia*Kentucky*Indiana*Maryland*Illinois*Nebraska*Tennessee*Mississippi*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Arkansas*Georgia*New York*Wisconsin*Puerto Rico*Minnesota*Pennsylvania*Missouri*North Carolina*West Virginia*Massachusetts*,Annual*,Forb/herb*,Summer*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,-28,Green,Yes,Purple,Mid Summer
GLLE3,Glycyrrhiza lepidota,American licorice,Connecticut*Alberta*Virginia*Maine*Indiana*Colorado*Illinois*Nebraska*Saskatchewan*Iowa*Oregon*Ontario*Oklahoma*Kansas*Arkansas*New York*Washington*South Dakota*Wisconsin*Arizona*Nevada*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*Texas*California*Missouri*Montana*Wyoming*Manitoba*North Dakota*New Mexico*Massachusetts*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,High,No,Yes,Yes,None,Intermediate,-38,Green,Yes,White,Late Spring
GOLA,Gordonia lasianthus,loblolly bay,Alabama*South Carolina*Georgia*North Carolina*Mississippi*Florida*,Perennial*,Shrub*Tree*,Spring*Summer*Fall*,Slow,High,Yes,No,Yes,Low,Tolerant,-4,Dark Green,Yes,White,Early Summer
GOTO,Gossypium tomentosum,Hawai'ian cotton,Hawaii*,Perennial*,Shrub*,Year Round*,Moderate,Medium,Yes,Yes,Yes,High,Intermediate,50,Green,Yes,Yellow,Indeterminate
GRSP,Grayia spinosa,spiny hopsage,Colorado*California*Montana*Wyoming*Washington*Arizona*Nevada*Oregon*New Mexico*Idaho*Utah*,Perennial*,Shrub*Subshrub*,Fall*Winter*Spring*,Slow,Low,Yes,Yes,Yes,High,Intolerant,-33,White-Gray,No,Red,Late Spring
GUOF,Guaiacum officinale,lignum-vitae,Puerto Rico*Virgin Islands*Florida*,Perennial*,Tree*,Spring*,Slow,Low,Yes,No,Yes,High,Intolerant,40,Green,Yes,Blue,Spring
GUGU,Guarea guidonia,American muskwood,Puerto Rico*Virgin Islands*,Perennial*,Shrub*Tree*,Fall*,Slow,Low,Yes,No,No,High,Intolerant,40,Green,Yes,White,Spring
GUSA2,Gutierrezia sarothrae,broom snakeweed,South Carolina*Alberta*Colorado*Nebraska*Saskatchewan*Oregon*Oklahoma*Kansas*New York*Washington*South Dakota*Arizona*Nevada*Minnesota*Utah*Texas*California*Montana*Wyoming*Manitoba*North Dakota*New Mexico*Idaho*,Perennial*,Forb/herb*Shrub*Subshrub*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,High,Intolerant,-38,Green,No,Yellow,Early Summer
GYDI,Gymnocladus dioicus,Kentucky coffeetree,Ohio*Connecticut*South Carolina*Virginia*Kentucky*Maine*Indiana*Maryland*Illinois*Nebraska*Tennessee*Mississippi*Iowa*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Wisconsin*Minnesota*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*North Dakota*Massachusetts*,Perennial*,Tree*,Spring*Summer*,Slow,Medium,Yes,Yes,Yes,Medium,Intolerant,-32,Green,Yes,White,Early Summer
GYSA,Gynerium sagittatum,wildcane,Puerto Rico*,Perennial*,Graminoid*,Spring*,Rapid,High,No,No,No,Medium,Intermediate,40,Green,No,White,Summer
HACA3,Halesia carolina,Carolina silverbell,Alabama*South Carolina*Georgia*New York*Mississippi*Florida*,Perennial*,Shrub*Tree*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Low,Tolerant,-10,Green,Yes,White,Mid Spring
HADI3,Halesia diptera,two-wing silverbell,Texas*Florida*Alabama*South Carolina*Arkansas*Georgia*Mississippi*Louisiana*,Perennial*,Shrub*Tree*,Spring*,Moderate,Medium,No,Yes,Yes,Low,Intermediate,10,Green,Yes,White,Spring
HAVI4,Hamamelis virginiana,American witchhazel,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Prince Edward Island*Massachusetts*District of Columbia*Illinois*Maryland*Tennessee*Mississippi*Nova Scotia*Iowa*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Oklahoma*Arkansas*Georgia*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*New Brunswick*Indiana*,Perennial*,Shrub*Tree*,Spring*Summer*,Slow,Medium,No,Yes,Yes,Low,Intermediate,-28,Green,Yes,Yellow,Fall
HEAL,Hedysarum alpinum,alpine sweetvetch,New Hampshire*Northwest Territories*Labrador*Quebec*Alberta*Yukon*Maine*Nebraska*Saskatchewan*Newfoundland*Ontario*Michigan*Alaska*Nunavut*South Dakota*Vermont*Rhode Island*British Columbia*Montana*Wyoming*New Brunswick*Manitoba*North Dakota*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Medium,Yes,No,Yes,Low,Intolerant,-62,Green,Yes,Purple,Early Summer
HEBO,Hedysarum boreale,Utah sweetvetch,Northwest Territories*Quebec*Alberta*Yukon*Colorado*Saskatchewan*Newfoundland*Oregon*Ontario*Oklahoma*Alaska*Nunavut*Washington*South Dakota*Arizona*Nevada*Utah*British Columbia*Texas*Montana*Wyoming*Manitoba*North Dakota*New Mexico*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,High,Intolerant,-38,Green,Yes,Red,Late Spring
HEBOB2,Hedysarum boreale,Utah sweetvetch,British Columbia*Oklahoma*Texas*Colorado*Saskatchewan*Montana*Alberta*Wyoming*South Dakota*Arizona*Nevada*North Dakota*New Mexico*Oregon*Idaho*Utah*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,Yes,Yes,High,Intolerant,-23,Green,Yes,Red,Mid Spring
HESU,Hedysarum sulphurescens,white sweetvetch,British Columbia*Montana*Alberta*Washington*Wyoming*Oregon*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Low,No,No,Yes,High,Intermediate,-33,Green,Yes,White,Late Spring
HEAU,Helenium autumnale,common sneezeweed,Ohio*Connecticut*Northwest Territories*South Carolina*Quebec*Alberta*Virginia*Kentucky*Maine*Massachusetts*District of Columbia*Colorado*Illinois*Maryland*Saskatchewan*Nebraska*Tennessee*Mississippi*Iowa*Oregon*Florida*Louisiana*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Washington*Wisconsin*Arizona*Nevada*Vermont*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*Texas*California*Missouri*Montana*Wyoming*North Carolina*West Virginia*Manitoba*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Medium,Yes,Yes,Yes,Low,Intolerant,-43,Green,Yes,Yellow,Fall
HEFL,Helenium flexuosum,purplehead sneezeweed,New Hampshire*Ohio*Connecticut*South Carolina*Quebec*Virginia*Kentucky*Maine*Indiana*District of Columbia*Illinois*Maryland*Tennessee*Mississippi*Nova Scotia*Louisiana*Florida*Ontario*Michigan*New Jersey*Delaware*Alabama*Kansas*Oklahoma*Arkansas*Georgia*New York*Wisconsin*Vermont*Minnesota*Rhode Island*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*Massachusetts*,Perennial*,Forb/herb*,Spring*,Moderate,Low,Yes,Yes,Yes,Medium,Intolerant,-28,Green,Yes,Yellow,Summer
HEUN,Helianthella uniflora,oneflower helianthella,British Columbia*Colorado*Montana*Wyoming*Washington*Nevada*Oregon*New Mexico*Idaho*Utah*,Perennial*,Forb/herb*,Spring*Summer*,Rapid,Low,Yes,No,No,High,Intermediate,-23,Green,Yes,Yellow,Spring
HEAN2,Helianthus angustifolius,swamp sunflower,Ohio*South Carolina*Virginia*Kentucky*District of Columbia*Illinois*Maryland*Tennessee*Mississippi*Louisiana*Florida*New Jersey*Delaware*Alabama*Oklahoma*Arkansas*Georgia*New York*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*Indiana*,Perennial*,Forb/herb*,Spring*Summer*,Moderate,Medium,Yes,No,Yes,Medium,Intermediate,-28,Dark Green,Yes,Yellow,Late Summer
HEAN3,Helianthus annuus,common sunflower,New Hampshire*Ohio*Connecticut*Northwest Territories*South Carolina*Quebec*Alberta*Virginia*Kentucky*Maine*Prince Edward Island*Massachusetts*District of Columbia*Colorado*Illinois*Maryland*Saskatchewan*Nebraska*Tennessee*Mississippi*Nova Scotia*Iowa*Oregon*Florida*Louisiana*Ontario*Michigan*New Jersey*Alaska*Alabama*Delaware*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Washington*Wisconsin*Puerto Rico*Arizona*Nevada*Vermont*Hawaii*Minnesota*Rhode Island*Utah*Pennsylvania*British Columbia*Texas*California*Missouri*Montana*Wyoming*North Carolina*West Virginia*Manitoba*New Brunswick*North Dakota*New Mexico*Indiana*Idaho*,Annual*,Forb/herb*,Summer*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,52,Green,Yes,Yellow,Summer
HEDE4,Helianthus debilis,cucumberleaf sunflower,New Hampshire*Connecticut*South Carolina*Virginia*Maine*Maryland*Mississippi*Florida*Louisiana*Michigan*Alabama*Georgia*Vermont*Rhode Island*Pennsylvania*Texas*North Carolina*West Virginia*Massachusetts*,Annual*Perennial*,Forb/herb*,Spring*Summer*,Slow,Medium,Yes,No,Yes,Medium,Intolerant,22,Green,Yes,Yellow,Summer
HEGR4,Helianthus grosseserratus,sawtooth sunflower,New Hampshire*Ohio*Connecticut*Quebec*Virginia*Kentucky*Maine*Indiana*Maryland*Illinois*Nebraska*Tennessee*Mississippi*Iowa*Louisiana*Ontario*Michigan*New Jersey*Delaware*Kansas*Oklahoma*Arkansas*Georgia*New York*South Dakota*Washington*Wisconsin*Minnesota*Pennsylvania*Texas*Missouri*North Carolina*West Virginia*North Dakota*New Mexico*Massachusetts*,Perennial*,Forb/herb*,Spring*Summer*Fall*,Moderate,Medium,Yes,Yes,Yes,Medium,Intolerant,-43,Dark Green,Yes,Yellow,Late Summer
HEMA2,Helianthus maximiliani,Maximilian sunflower,Ohio*Connecticut*South Carolina*Quebec*Alberta*Virginia*Kentucky*Maine*Massachusetts*Maryland*Colorado*Illinois*Nebraska*Saskatchewan*Tennessee*Mississippi*Iowa*Ontario*Michigan*New Jersey*Oklahoma*Alabama*Kansas*Arkansas*New York*Washington*South Dakota*Wisconsin*Minnesota*Pennsylvania*British Columbia*Texas*California*Missouri*Montana*Wyoming*North Carolina*West Virginia*Manitoba*North Dakota*New Mexico*Indiana*Idaho*,Perennial*,Forb/herb*,Summer*Fall*,Rapid,Medium,Yes,Yes,Yes,Medium,Intolerant,-13,Green,Yes,Yellow,Late Summer
HENU,Helianthus nuttallii,Nuttall's sunflower,Quebec*Alberta*Colorado*Nebraska*Saskatchewan*Iowa*Oregon*Ontario*Oklahoma*Kansas*Washington*South Dakota*Arizona*Nevada*Minnesota*Utah*British Columbia*California*Missouri*Montana*Wyoming*Manitoba*North Dakota*New Mexico*Idaho*,Perennial*,Forb/herb*,Spring*Summer*Fall*,Moderate,Medium,No,Yes,Yes,Low,Intolerant,-38,Green,Yes,Yellow,Mid Summer
